================================================================================
Viral Abundance Report (MetaFlye - Long Reads) - llnl_66d1047e
================================================================================

Total mapped reads: 148104
Viral contigs reported: 825

Contig ID                                 Length(bp)     Reads         RPM        RPKM
contig_752                                      6792        11       74.27       10.94
contig_991                                     11127        18      121.54       10.92
contig_878                                     34625        56      378.11       10.92
contig_492                                      5573         9       60.77       10.90
contig_1053                                     8674        14       94.53       10.90
contig_362                                     14258        23      155.30       10.89
contig_975                                      9920        16      108.03       10.89
contig_338                                     10578        17      114.78       10.85
contig_98                                       8722        14       94.53       10.84
contig_668                                     10602        17      114.78       10.83
contig_921                                     18092        29      195.81       10.82
contig_514                                      8112        13       87.78       10.82
contig_282                                      9378        15      101.28       10.80
contig_278                                      5641         9       60.77       10.77
contig_460                                     14413        23      155.30       10.77
contig_169                                      6274        10       67.52       10.76
contig_398                                      3146         5       33.76       10.73
contig_978                                      5034         8       54.02       10.73
contig_795                                      8859        14       94.53       10.67
contig_107                                     18981        30      202.56       10.67
contig_288                                      7606        12       81.02       10.65
contig_483                                      5710         9       60.77       10.64
contig_768                                      3817         6       40.51       10.61
contig_292                                     11466        18      121.54       10.60
contig_13                                      14721        23      155.30       10.55
contig_682                                     13444        21      141.79       10.55
contig_591                                      5773         9       60.77       10.53
contig_212                                      5779         9       60.77       10.52
contig_455                                     16703        26      175.55       10.51
contig_422                                      6428        10       67.52       10.50
contig_261                                      5150         8       54.02       10.49
contig_54                                       5169         8       54.02       10.45
contig_404                                      5814         9       60.77       10.45
contig_451                                     12302        19      128.29       10.43
contig_916                                      5186         8       54.02       10.42
contig_235                                     10363        16      108.03       10.42
contig_481                                      9123        14       94.53       10.36
contig_114                                     11751        18      121.54       10.34
contig_757                                      7184        11       74.27       10.34
contig_1099                                    18947        29      195.81       10.33
contig_994                                      7188        11       74.27       10.33
contig_684                                     19684        30      202.56       10.29
contig_325                                      8536        13       87.78       10.28
contig_489                                      5917         9       60.77       10.27
contig_1041                                    21690        33      222.82       10.27
contig_979                                      9867        15      101.28       10.26
contig_164                                     17149        26      175.55       10.24
contig_469                                      5995         9       60.77       10.14
contig_1002                                    11327        17      114.78       10.13
contig_546                                      9355        14       94.53       10.10
contig_488                                     16726        25      168.80       10.09
contig_323                                      4687         7       47.26       10.08
contig_810                                      4701         7       47.26       10.05
contig_232                                      6725        10       67.52       10.04
contig_717                                     12806        19      128.29       10.02
contig_87                                       6109         9       60.77        9.95
contig_41                                      15650        23      155.30        9.92
contig_517                                      8177        12       81.02        9.91
contig_297                                      7503        11       74.27        9.90
contig_210                                      3425         5       33.76        9.86
contig_505                                      9595        14       94.53        9.85
contig_1029                                    13108        19      128.29        9.79
contig_572                                      3447         5       33.76        9.79
contig_923                                      3462         5       33.76        9.75
contig_44                                       9750        14       94.53        9.70
contig_697                                     14649        21      141.79        9.68
contig_213                                     10463        15      101.28        9.68
contig_718                                      8389        12       81.02        9.66
contig_603                                      8397        12       81.02        9.65
contig_397                                      5600         8       54.02        9.65
contig_64                                      17505        25      168.80        9.64
contig_435                                     14765        21      141.79        9.60
contig_522                                      7762        11       74.27        9.57
contig_416                                      7807        11       74.27        9.51
contig_206                                     12159        17      114.78        9.44
contig_931                                      7184        10       67.52        9.40
contig_1026                                     9358        13       87.78        9.38
contig_876                                      6517         9       60.77        9.32
contig_602                                     13797        19      128.29        9.30
contig_1015                                     3633         5       33.76        9.29
contig_111                                      5088         7       47.26        9.29
contig_173                                      8001        11       74.27        9.28
contig_896                                      5125         7       47.26        9.22
contig_866                                      5161         7       47.26        9.16
contig_344                                      6669         9       60.77        9.11
contig_833                                     12652        17      114.78        9.07
contig_260                                      6700         9       60.77        9.07
contig_786                                      5986         8       54.02        9.02
contig_662                                      5283         7       47.26        8.95
contig_699                                     10709        14       94.53        8.83
contig_857                                      3828         5       33.76        8.82
contig_1037                                    14646        19      128.29        8.76
contig_1001                                     5397         7       47.26        8.76
contig_713                                      9276        12       81.02        8.73
contig_446                                      5449         7       47.26        8.67
contig_720                                      5462         7       47.26        8.65
contig_615                                      3930         5       33.76        8.59
contig_1008                                     3157         4       27.01        8.55
contig_698                                      7936        10       67.52        8.51
contig_597                                      5572         7       47.26        8.48
contig_370                                      6421         8       54.02        8.41
contig_379                                     10444        13       87.78        8.40
contig_519                                      6446         8       54.02        8.38
contig_125                                      6446         8       54.02        8.38
contig_300                                      9683        12       81.02        8.37
contig_778                                      5694         7       47.26        8.30
contig_5                                       14655        18      121.54        8.29
contig_340                                     12253        15      101.28        8.27
contig_779                                      5725         7       47.26        8.26
contig_305                                      4963         6       40.51        8.16
contig_981                                      5831         7       47.26        8.11
contig_970                                      5882         7       47.26        8.04
contig_421                                      6733         8       54.02        8.02
contig_722                                      3368         4       27.01        8.02
contig_706                                      9270        11       74.27        8.01
contig_930                                      5077         6       40.51        7.98
contig_1081                                    22855        27      182.30        7.98
contig_271                                      6783         8       54.02        7.96
contig_327                                      4242         5       33.76        7.96
contig_912                                      6053         7       47.26        7.81
contig_974                                      6048         7       47.26        7.81
contig_321                                      5260         6       40.51        7.70
contig_847                                      3518         4       27.01        7.68
contig_1014                                     5284         6       40.51        7.67
contig_1033                                     8923        10       67.52        7.57
contig_864                                      5364         6       40.51        7.55
contig_38                                       9019        10       67.52        7.49
contig_36                                       4589         5       33.76        7.36
contig_630                                      8289         9       60.77        7.33
contig_748                                      3691         4       27.01        7.32
contig_624                                     14777        16      108.03        7.31
contig_1054                                     3708         4       27.01        7.28
contig_922                                      5569         6       40.51        7.27
contig_929                                      5637         6       40.51        7.19
contig_239                                      6748         7       47.26        7.00
contig_447                                      3857         4       27.01        7.00
contig_838                                      6138         6       40.51        6.60
contig_871                                      8428         8       54.02        6.41
contig_280                                      5285         5       33.76        6.39
contig_1004                                     5290         5       33.76        6.38
contig_27                                       9659         9       60.77        6.29
contig_854                                      6539         6       40.51        6.20
contig_901                                      5500         5       33.76        6.14
contig_840                                      3452         3       20.26        5.87
contig_382                                      4660         4       27.01        5.80
contig_635                                      4724         4       27.01        5.72
contig_695                                      3623         3       20.26        5.59
contig_431                                      7434         6       40.51        5.45
contig_808                                      3810         3       20.26        5.32
contig_1024                                     5086         4       27.01        5.31
contig_813                                      3971         3       20.26        5.10
contig_865                                      4004         3       20.26        5.06
