name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pemapivirus achisotu	3431562	S	69	0	69	0.00000
Pemapivirus brohepotu	3431563	S	64	0	64	0.00000
Rajidapivirus ashaska	3432130	S	75	0	75	0.00000
Sakobuvirus aportufeli	3432235	S	72	0	72	0.00000
Livupivirus asmonewi	3430414	S	67	0	67	0.00000
Symapivirus atriliza	3432655	S	62	0	62	0.00000
Sicinivirus ahiberni	3432442	S	55	2	57	0.00000
Rafivirus begecki	3432127	S	37	0	37	0.00000
Dicipivirus berinro	3428296	S	25	0	25	0.00000
Dicipivirus acadici	3428295	S	9	0	9	0.00000
Tropivirus awaski	3433007	S	23	0	23	0.00000
Tropivirus betero	3433008	S	8	0	8	0.00000
Passerivirus ahokothi	3431404	S	13	0	13	0.00000
Passerivirus sp.	2065211	S	10	0	10	0.00000
Poecivirus ablacachi	3431717	S	21	0	21	0.00000
Oscivirus ahokorobi	3431517	S	18	0	18	0.00000
Ludopivirus agrewhifrogo	3430512	S	15	0	15	0.00000
Mischivirus beminio	3430894	S	731	0	731	0.00000
Mischivirus defoxi	3430896	S	289	0	289	0.00000
Mischivirus cica	3430895	S	12	0	12	0.00000
Mischivirus acombewi	3430893	S	5	0	5	0.00000
Cosavirus asiani	3428094	S	77	0	77	0.00000
Cosavirus depakis	3428096	S	73	0	73	0.00000
Cosavirus bepakis	3428095	S	61	0	61	0.00000
Human cosavirus	1233383	S	34	0	34	0.00000
Cosavirus JMY-2014	1582094	S	16	0	16	0.00000
Cosavirus fepakis	3428098	S	47	0	47	0.00000
Cosavirus eaustrali	3428097	S	8	0	8	0.00000
Hunnivirus amagyari	3429868	S	258	0	258	0.00000
Cardiovirus ranori	3427728	S	83	0	83	0.00000
Cardiovirus theileri	3427732	S	43	0	43	0.00000
Cardiovirus dhusarah	3427727	S	38	0	38	0.00000
Cardiovirus rudhira	3427729	S	27	0	27	0.00000
Cardiovirus saffoldi	3427731	S	24	0	24	0.00000
Cardiovirus rueckerti	3427730	S	9	0	9	0.00000
Bopivirus abovi	3427559	S	93	0	93	0.00000
Teschovirus asilesi	3432768	S	81	0	81	0.00000
Aphthovirus reedi	3426400	S	41	0	41	0.00000
Aphthovirus vesiculae	3426401	S	6	0	6	0.00000
Marmot mosavirus	2161809	S	30	0	30	0.00000
Mosavirus acanmo	3430961	S	8	0	8	0.00000
Erbovirus aequirhi	3428567	S	17	0	17	0.00000
Torchivirus atorpi	3432912	S	16	0	16	0.00000
Senecavirus valles	3241303	S	11	0	11	0.00000
Ailurivirus agiapa	2560287	S	9	3	12	0.00000
Malagasivirus alphalesa	3430609	S	8	0	8	0.00000
Malagasivirus betalesa	3430610	S	1	0	1	0.00000
Marsupivirus aburpengari	3430672	S	6	0	6	0.00000
Enterovirus jesimi	3428512	S	316	0	316	0.00000
Enterovirus alphacoxsackie	3428500	S	285	0	285	0.00000
Enterovirus coxsackiepol	3428505	S	69	0	69	0.00000
Enterovirus alpharhino	3428501	S	68	0	68	0.00000
Enterovirus sp.	47681	S	30	0	30	0.00000
Enterovirus AN12	1929150	S	16	0	16	0.00000
Yak enterovirus	1604871	S	14	0	14	0.00000
Enterovirus goat/JL14	1849328	S	7	0	7	0.00000
Enterovirus betacoxsackie	3428502	S	45	0	45	0.00000
Enterovirus eibovi	3428507	S	34	0	34	0.00000
Enterovirus betarhino	3428503	S	27	0	27	0.00000
Enterovirus geswini	3428509	S	24	0	24	0.00000
Enterovirus deconjuncti	3428506	S	22	0	22	0.00000
Enterovirus cerhino	3428504	S	19	0	19	0.00000
Enterovirus krodeni	3428513	S	18	0	18	0.00000
Enterovirus lesimi	3428514	S	18	0	18	0.00000
Enterovirus fitauri	3428508	S	9	0	9	0.00000
Enterovirus hesimi	3428510	S	8	0	8	0.00000
Enterovirus idromi	3428511	S	8	0	8	0.00000
Marmot sapelovirus 1	2161803	S	91	0	91	0.00000
Bat sapelovirus	1958777	S	4	0	4	0.00000
Sapelovirus besimi	3432264	S	28	0	28	0.00000
Sapelovirus anglia	3432263	S	24	0	24	0.00000
Rabovirus aneyoci	3432090	S	60	0	60	0.00000
Rabovirus dehomo	3432093	S	46	0	46	0.00000
Rabovirus begaschmo	3432091	S	14	0	14	0.00000
Anativirus biphaco	2734519	S	28	0	28	0.00000
Anativirus aductai	2560293	S	6	0	6	0.00000
Limnipivirus cefahemi	3430403	S	226	0	226	0.00000
Limnipivirus becarpi	3430402	S	171	0	171	0.00000
Limnipivirus ablugi	3430401	S	52	0	52	0.00000
Limnipivirus disploca	3430404	S	31	0	31	0.00000
Parechovirus ahumpari	3431395	S	87	0	87	0.00000
Parechovirus beljungani	3431396	S	17	0	17	0.00000
Parechovirus deferreti	3431398	S	12	0	12	0.00000
Parechovirus cebokele	3431397	S	11	0	11	0.00000
Kunsagivirus bacameba	3430304	S	60	0	60	0.00000
Kunsagivirus cetanba	3430305	S	32	0	32	0.00000
Kunsagivirus agrepla	3430303	S	13	0	13	0.00000
Shanbavirus aminfuli	3241304	S	79	0	79	0.00000
Grusopivirus arecrocra	3429112	S	38	0	38	0.00000
Grusopivirus bechini	3429113	S	22	0	22	0.00000
Grusopivirus celori	3429114	S	10	0	10	0.00000
Aalivirus apekidu	2169685	S	64	0	64	0.00000
Avisivirus Pf-CHK1/AsV	1766559	S	31	0	31	0.00000
Avisivirus aturki	3426555	S	9	0	9	0.00000
Avisivirus begallu	3426556	S	6	0	6	0.00000
Avisivirus cechici	3426557	S	5	0	5	0.00000
Potamipivirus aconstanci	3431864	S	32	0	32	0.00000
Crohivirus alermus	3428122	S	18	0	18	0.00000
Crohivirus beidoli	3428123	S	11	0	11	0.00000
Pasivirus agallia	3431402	S	29	0	29	0.00000
Avihepatovirus ahepati	3426547	S	16	0	16	0.00000
Aquamavirus apinni	1330066	S	16	0	16	0.00000
Orivirus aoroshaza	3431260	S	7	0	7	0.00000
Hepatovirus bephopi	3429213	S	108	0	108	0.00000
Hepatovirus hedgi	3429219	S	64	0	64	0.00000
Hepatovirus ishrewi	3429220	S	64	0	64	0.00000
Hepatovirus cemanavi	3429214	S	44	0	44	0.00000
Hepatovirus gafrisheta	3429218	S	27	0	27	0.00000
Hepatovirus ahepa	3407641	S	20	0	20	0.00000
Tupaia hepatovirus A	1768064	S	14	0	14	0.00000
Hepatovirus erubebrufu	3429216	S	14	0	14	0.00000
Hepatovirus fejalco	3429217	S	5	0	5	0.00000
Hepatovirus devoli	3429215	S	1	0	1	0.00000
Fipivirus acarpi	3428777	S	50	0	50	0.00000
Fipivirus fiperchi	3428782	S	35	0	35	0.00000
Fipivirus ebanjoi	3428781	S	30	0	30	0.00000
Fipivirus besharpi	3428778	S	12	0	12	0.00000
Fipivirus crosso	3428779	S	12	0	12	0.00000
Fipivirus demackeri	3428780	S	4	0	4	0.00000
Gruhelivirus agrusa	3429111	S	77	0	77	0.00000
Rohelivirus arodenti	3432187	S	29	0	29	0.00000
Caecilivirus banna	3427669	S	26	0	26	0.00000
Tremovirus beturtli	3432978	S	23	0	23	0.00000
Rhimavirus A	2218594	S	53	0	53	0.00000
Cyprivirus A	2304617	S	43	0	43	0.00000
Pigeon picornavirus B	928289	S	37	0	37	0.00000
Aimelvirus 2	2016448	S	33	14	47	0.00000
Picornaviridae sp.	1530251	S	28	0	28	0.00000
Feline picornavirus	1108810	S	20	0	20	0.00000
Falcon picornavirus	1964370	S	20	0	20	0.00000
Chicken picornavirus 1	1534544	S	15	1	16	0.00000
Chicken picornavirus 4	1534547	S	15	2	17	0.00000
Bat picornavirus 1	1074863	S	14	0	14	0.00000
Bat picornavirus 2	1074864	S	12	0	12	0.00000
Tortoise rafivirus A	1483681	S	11	0	11	0.00000
Quail picornavirus QPV1/HUN/2010	1089138	S	11	0	11	0.00000
Bat picornavirus 3	1074865	S	6	0	6	0.00000
Washington bat picornavirus	1888309	S	4	0	4	0.00000
Ovine picornavirus	2509152	S	3	0	3	0.00000
Ampivirus apilisi	1986960	S	129	0	129	0.00000
Harkavirus alfoldi	3429188	S	13	0	13	0.00000
Cripavirus porteri	3059909	S	3916	0	3916	0.00002
Cripavirus drosophilae	3047809	S	725	0	725	0.00000
Cripavirus grylli	3047774	S	387	0	387	0.00000
Anopheles C virus	1769780	S	325	0	325	0.00000
Cripavirus NB-1/2011/HUN	1541211	S	58	0	58	0.00000
Cripavirus mortiferum	3047369	S	278	0	278	0.00000
Cripavirus ropadi	3048297	S	28	0	28	0.00000
Aparavirus kashmirense	3048166	S	1352	0	1352	0.00001
Aparavirus israelense	3048155	S	701	0	701	0.00000
Aparavirus apisacutum	3047346	S	528	0	528	0.00000
Aparavirus tauraense	3048357	S	20	0	20	0.00000
Aparavirus vallesi	3048319	S	17	0	17	0.00000
Aparavirus cancerluti	3048211	S	13	0	13	0.00000
Formica exsecta virus 1	1432856	S	787	0	787	0.00001
Centovirus	1911443	S	203	0	203	0.00000
Bivalve RNA virus G5	1926968	S	111	0	111	0.00000
Goose dicistrovirus	1776109	S	54	0	54	0.00000
Big Sioux River virus	1041883	S	46	0	46	0.00000
Bivalve RNA virus G1	1926967	S	41	0	41	0.00000
Macrobrachium rosenbergii Taihu virus	1027947	S	34	0	34	0.00000
Apis dicistrovirus	1983569	S	27	0	27	0.00000
Triatovirus nigereginacellulae	3047684	S	48	0	48	0.00000
Triatovirus plastali	3048274	S	39	0	39	0.00000
Triatovirus himetobi	3047951	S	18	0	18	0.00000
Triatovirus triatomae	3048434	S	7	0	7	0.00000
Triatovirus hocoagulatae	3047952	S	5	0	5	0.00000
Iflavirus vadestruente	3052254	S	1166	0	1166	0.00001
Iflavirus sacbroodi	3048309	S	999	0	999	0.00001
Bat iflavirus	1958778	S	297	0	297	0.00000
Helicoverpa armigera iflavirus	1936269	S	171	0	171	0.00000
Moku virus	1906245	S	126	0	126	0.00000
Diamondback moth iflavirus	1972700	S	106	0	106	0.00000
Bombyx mori iflavirus	1690666	S	69	0	69	0.00000
Armigeres iflavirus	2018471	S	33	0	33	0.00000
Heliconius erato iflavirus	1487185	S	31	0	31	0.00000
Psammotettix alienus iflavirus 1	2358449	S	28	0	28	0.00000
Formica exsecta virus 2	1432857	S	16	0	16	0.00000
Iflavirus spexiguae	3048331	S	116	0	116	0.00000
Iflavirus dinococcinellae	3047796	S	84	0	84	0.00000
Iflavirus achedomestici	3047345	S	64	0	64	0.00000
Iflavirus flacherie	3048152	S	41	0	41	0.00000
Iflavirus ectobliquae	3047816	S	39	0	39	0.00000
Iflavirus pernudae	3048262	S	31	0	31	0.00000
Iflavirus brebrassicae	3047698	S	23	0	23	0.00000
Iflavirus apistardum	3048318	S	22	0	22	0.00000
Iflavirus betaspexiguae	3048332	S	20	0	20	0.00000
Iflavirus aladeformis	3047792	S	18	0	18	0.00000
Iflavirus nilalugentis	3048223	S	17	0	17	0.00000
Iflavirus lineacelli	3048187	S	16	0	16	0.00000
Iflavirus vomitus	3047365	S	15	0	15	0.00000
Iflavirus lylineolaris	3048186	S	13	0	13	0.00000
Pityohyphantes rubrofasciatus iflavirus	1965238	S	326	0	326	0.00000
Laodelphax striatella honeydew virus 1	1464786	S	120	2	122	0.00000
Culex Iflavi-like virus 4	2304480	S	96	5	101	0.00000
Yongsan iflavirus 1	2315809	S	85	0	85	0.00000
Nesidiocoris tenuis iflavirus 1	2099521	S	46	0	46	0.00000
Chequa iflavirus	2054920	S	45	0	45	0.00000
La Jolla virus	1654357	S	44	0	44	0.00000
Euscelidius variegatus virus 1	1920698	S	24	0	24	0.00000
King virus	1911104	S	22	0	22	0.00000
Opsiphanes invirae iflavirus 1	1675864	S	21	0	21	0.00000
Nilaparvata lugens honeydew virus-2	1345661	S	19	0	19	0.00000
Thaumetopoea pityocampa iflavirus 1	1591444	S	18	0	18	0.00000
Halyomorpha halys virus	1410467	S	18	0	18	0.00000
Laodelphax striatellus picorna-like virus 2	1566869	S	17	0	17	0.00000
Graminella nigrifrons virus 1	1629132	S	11	0	11	0.00000
Culex Iflavi-like virus 1	2304477	S	6	1	7	0.00000
Nilaparvata lugens honeydew virus-3	1345662	S	5	0	5	0.00000
Sopolycivirus solenopsis	3432540	S	195	0	195	0.00000
Sopolycivirus gammalasii	3432535	S	108	0	108	0.00000
Sopolycivirus lasii	3432536	S	39	0	39	0.00000
Sopolycivirus bestiolae	3432530	S	28	0	28	0.00000
Sopolycivirus myrmicae	3432539	S	27	0	27	0.00000
Sopolycivirus betasolenopsis	3432533	S	10	0	10	0.00000
Chipolycivirus hubeiense	3427909	S	41	0	41	0.00000
Hupolycivirus hubeiense	3429870	S	23	0	23	0.00000
Antarctic picorna-like virus 1	1648481	S	125	0	125	0.00000
Antarctic picorna-like virus 3	1648483	S	27	0	27	0.00000
Antarctic picorna-like virus 2	1648482	S	9	0	9	0.00000
Antarctic picorna-like virus 4	1648484	S	8	0	8	0.00000
Orthonoravirus melanogastri	3060507	S	102	0	102	0.00000
Nyfulvavirus nylanderiae	3431208	S	21	0	21	0.00000
Invictavirus solenopsis	3429972	S	2	0	2	0.00000
Betacoronavirus erinacei	3433774	S	13298	0	13298	0.00008
Betacoronavirus cameli	3433633	S	177	0	177	0.00000
Betacoronavirus pipistrelli	3433775	S	57	0	57	0.00000
Betacoronavirus tylonycteridis	3433776	S	43	0	43	0.00000
Betacoronavirus gravedinis	3433757	S	256	0	256	0.00000
Betacoronavirus muris	3433759	S	131	0	131	0.00000
Betacoronavirus ratti	3433761	S	33	0	33	0.00000
Rabbit coronavirus HKU14	1160968	S	31	0	31	0.00000
Betacoronavirus hongkongense	3433758	S	21	0	21	0.00000
Betacoronavirus pandemicum	3418604	S	382	0	382	0.00000
Bat coronavirus BM48-31/BGR/2008	864596	S	72	0	72	0.00000
Betacoronavirus rousetti	3418615	S	80	0	80	0.00000
Betacoronavirus cororeum	3418613	S	54	0	54	0.00000
Betacoronavirus hipposideri	3433764	S	61	0	61	0.00000
Bat alphacoronavirus	2419667	S	376	0	376	0.00000
Alphacoronavirus sp.	1906673	S	364	0	364	0.00000
Wencheng Sm shrew coronavirus	1508228	S	129	0	129	0.00000
Alphacoronavirus suis	3433814	S	769	0	769	0.00000
Alphacoronavirus ratti	3433770	S	637	0	637	0.00000
Coronavirus AcCoV-JC34	1964806	S	126	0	126	0.00000
Alphacoronavirus chicagoense	3433756	S	400	0	400	0.00000
Alphacoronavirus pusilli	3433780	S	258	0	258	0.00000
Alphacoronavirus miniopteri	3433779	S	39	0	39	0.00000
Alphacoronavirus tylonycteridis	3433786	S	131	0	131	0.00000
Alphacoronavirus nyctali	3433784	S	90	0	90	0.00000
Alphacoronavirus pipistrelli	3433785	S	70	0	70	0.00000
BtRf-AlphaCoV/YN2012	1503293	S	231	6	237	0.00000
Alphacoronavirus rhinolophi	3433795	S	21	0	21	0.00000
Alphacoronavirus neovisontis	3433778	S	242	0	242	0.00000
Alphacoronavirus porci	3433789	S	99	0	99	0.00000
Alphacoronavirus scotophili	3158245	S	95	0	95	0.00000
Alphacoronavirus rousetti	3433754	S	69	0	69	0.00000
Alphacoronavirus hipposideri	3433753	S	60	0	60	0.00000
Alphacoronavirus ferrumequini	3433752	S	41	0	41	0.00000
Alphacoronavirus myotis	3433749	S	144	0	144	0.00000
Alphacoronavirus triaenopis	3433810	S	96	0	96	0.00000
Alphacoronavirus amsterdamense	3433809	S	40	0	40	0.00000
Alphacoronavirus ricketti	3433782	S	93	0	93	0.00000
Deltacoronavirus suis	3433742	S	932	0	932	0.00001
Magpie-robin coronavirus HKU18	1159903	S	301	0	301	0.00000
Sparrow coronavirus HKU17	1159906	S	94	0	94	0.00000
Thrush coronavirus HKU12-600	572290	S	91	0	91	0.00000
Deltacoronavirus pycnonoti	3433741	S	183	0	183	0.00000
Deltacoronavirus zosteropis	3433743	S	107	0	107	0.00000
Deltacoronavirus lonchurae	3433740	S	52	0	52	0.00000
Deltacoronavirus gallinulae	3433739	S	28	0	28	0.00000
Deltacoronavirus marecae	3433732	S	89	0	89	0.00000
Deltacoronavirus nycticoracis	3433763	S	44	0	44	0.00000
Gammacoronavirus galli	3433766	S	667	0	667	0.00000
Gammacoronavirus delphinapteri	3433744	S	261	0	261	0.00000
Canada goose coronavirus	2569586	S	121	0	121	0.00000
Shrew coronavirus	2050019	S	50	0	50	0.00000
Bat coronavirus	1508220	S	264	0	264	0.00000
Rodent coronavirus	2050018	S	207	0	207	0.00000
Alphapironavirus salmonis	2955294	S	80	0	80	0.00000
Vebetovirus paba	2956634	S	5839	0	5839	0.00004
Serpentovirinae sp.	2661817	S	769	0	769	0.00000
Infratovirus hebii	3433762	S	410	0	410	0.00000
Infratovirus hubeiense	3433816	S	179	0	179	0.00000
Pregotovirus heba	2956336	S	143	0	143	0.00000
Pregotovirus pythonis	3240428	S	96	0	96	0.00000
Pregotovirus myuchelyis	3241180	S	153	0	153	0.00000
Pregotovirus tiliquae	3241179	S	93	0	93	0.00000
Lyctovirus alpa	2956139	S	94	0	94	0.00000
Sectovirus xinzhouense	3241301	S	62	0	62	0.00000
Oncotshavirus oncorhynchi	3433808	S	2138	0	2138	0.00001
Bafinivirus pimephalae	3433790	S	84	0	84	0.00000
Bafinivirus bliccae	3433736	S	72	0	72	0.00000
Torovirus suis	3433794	S	706	0	706	0.00000
Torovirus bovis	3433792	S	96	7	103	0.00000
Torovirus banli	2956540	S	309	22	331	0.00000
Guangdong red-banded snake torovirus	2116384	S	139	0	139	0.00000
Goat torovirus	1837217	S	59	0	59	0.00000
Bostovirus bovis	3433737	S	1271	0	1271	0.00001
Tofonivirus foami	2956539	S	3822	0	3822	0.00002
Tocinivirus aphisi	2956538	S	65	0	65	0.00000
Alphamesonivirus diankeense	2734511	S	882	3	885	0.00001
Alphamesonivirus cavallyense	1312874	S	87	0	87	0.00000
Alphamesonivirus karangense	1945560	S	230	0	230	0.00000
Alphamesonivirus daknongense	1945561	S	159	0	159	0.00000
Alphamesonivirus kadiweuorum	2501923	S	141	0	141	0.00000
Alphamesonivirus casuarinaense	1945562	S	70	0	70	0.00000
Alphamesonivirus ofaieorum	2501925	S	67	0	67	0.00000
Alphamesonivirus yichangense	2955292	S	40	0	40	0.00000
Nasenivirus tami	3433768	S	30	0	30	0.00000
Bolenivirus botrylloidis	3433733	S	240	0	240	0.00000
Turrinivirus turritellae	3433735	S	41	0	41	0.00000
Betaarterivirus europensis	3411021	S	121	0	121	0.00000
Betaarterivirus chinrav	3433745	S	82	0	82	0.00000
Betaarterivirus americense	2499685	S	59	0	59	0.00000
Gammaarterivirus lacdeh	2499678	S	97	0	97	0.00000
Rodent arterivirus	1806636	S	305	0	305	0.00000
Southwest baboon virus 1	1546178	S	61	0	61	0.00000
Iotaarterivirus pejah	2748967	S	88	0	88	0.00000
Iotaarterivirus kibreg	3433769	S	50	0	50	0.00000
Iotaarterivirus debrazmo	2501947	S	17	0	17	0.00000
Thetaarterivirus kafuba	2501999	S	72	0	72	0.00000
Thetaarterivirus mikelba	3433781	S	48	0	48	0.00000
Epsilonarterivirus safriver	2501965	S	46	0	46	0.00000
Epsilonarterivirus zamalb	2501966	S	31	0	31	0.00000
Epsilonarterivirus hemcep	2501964	S	13	0	13	0.00000
Zetaarterivirus ugarco	3433607	S	41	0	41	0.00000
Deltaarterivirus hemfev	2499622	S	37	0	37	0.00000
Etaarterivirus ugarco	3428579	S	27	0	27	0.00000
Lambdaarterivirus afriporav	2499621	S	148	0	148	0.00000
Alphaarterivirus equid	2499620	S	46	0	46	0.00000
Kappaarterivirus wobum	2499677	S	44	0	44	0.00000
Muarterivirus afrigant	2499618	S	22	0	22	0.00000
Sicregavirus nixi	2956445	S	198	0	198	0.00000
Pontunivirus mauremydis	3431826	S	15	0	15	0.00000
Cyclophivirus ptyadis	3428159	S	41	0	41	0.00000
Kukrinivirus oligodontis	3430288	S	29	0	29	0.00000
Okavirus flavicapitis	3048455	S	734	0	734	0.00000
Okavirus branchiae	3047840	S	20	0	20	0.00000
Nimanivirus lahi	2956224	S	95	0	95	0.00000
Charybnivirus charybdis	3433750	S	84	0	84	0.00000
Charybnivirus wenlingense	3433815	S	25	0	25	0.00000
Paguronivirus eremitae	3433734	S	77	0	77	0.00000
Alphamononivirus schmidteae	3433755	S	288	0	288	0.00000
Aplysia californica nido-like virus	2283236	S	84	0	84	0.00000
Sajorinivirus hyporhamphi	3432229	S	62	0	62	0.00000
Chimshavirus chimaerae	3427906	S	20	0	20	0.00000
Sobemovirus BSSV	3432493	S	16232	0	16232	0.00010
Sobemovirus SOMV	3432512	S	14344	0	14344	0.00009
Sobemovirus RGMOV	3432504	S	6088	0	6088	0.00004
Sobemovirus SCPMV	3432509	S	1294	0	1294	0.00001
Sobemovirus CFMV	3432494	S	620	0	620	0.00000
Sobemovirus PLYV	3432503	S	517	0	517	0.00000
Sobemovirus SBMV	3432507	S	419	0	419	0.00000
Sobemovirus PHYRMV	3432500	S	257	0	257	0.00000
Sobemovirus SYCMV	3432513	S	150	0	150	0.00000
Sobemovirus RYMV	3432506	S	54	0	54	0.00000
Sobemovirus ARTVA	3432492	S	44	0	44	0.00000
Sobemovirus IYMV	3432497	S	43	0	43	0.00000
Sobemovirus SMAMV	2956468	S	37	0	37	0.00000
Sobemovirus SEMV	3432510	S	35	0	35	0.00000
Sobemovirus LTSV	3432498	S	27	0	27	0.00000
Sobemovirus TROV	3432514	S	20	0	20	0.00000
Sobemovirus VTMOV	3432515	S	11	0	11	0.00000
Sobemovirus SCMOV	3432508	S	11	0	11	0.00000
Sobemovirus ROMOV	3432505	S	9	0	9	0.00000
Sobemovirus SNMOV	3432511	S	4	0	4	0.00000
Polerovirus PLRV	3431772	S	296	61	357	0.00000
Polerovirus PBMYV	3431762	S	128	0	128	0.00000
Polerovirus BWYV	3431732	S	75	0	75	0.00000
Polerovirus TUYV	3431793	S	58	0	58	0.00000
Polerovirus CPPV2	3431742	S	55	0	55	0.00000
Polerovirus MABYV	3431755	S	47	0	47	0.00000
Polerovirus WYDVGPV	3431798	S	42	0	42	0.00000
Polerovirus WCMV	3431796	S	39	0	39	0.00000
Polerovirus CABYV	3431733	S	36	0	36	0.00000
Polerovirus MYDVRMV	3431758	S	31	0	31	0.00000
Polerovirus PEVYV1	3411747	S	20	0	20	0.00000
Polerovirus AEYV	3431724	S	19	0	19	0.00000
Ixeridium yellow mottle virus 1	1809767	S	12	0	12	0.00000
Tobacco virus 2	1972995	S	5	2	7	0.00000
Polerovirus PEVYV6	3431769	S	16	1	17	0.00000
Polerovirus LABYV	3431754	S	16	0	16	0.00000
Polerovirus PEVYV5	3431768	S	14	0	14	0.00000
Polerovirus MAYMV	3431756	S	14	0	14	0.00000
Polerovirus PABYV	3431761	S	13	0	13	0.00000
Polerovirus SABYV	3431779	S	13	0	13	0.00000
Polerovirus TVDV	3431794	S	13	0	13	0.00000
Polerovirus GRAV	3431751	S	12	0	12	0.00000
Polerovirus FBPV	3431748	S	11	0	11	0.00000
Polerovirus BMYV	3431729	S	10	0	10	0.00000
Polerovirus PUPV	3431778	S	10	0	10	0.00000
Polerovirus CLDV	3431737	S	9	0	9	0.00000
Polerovirus CYDVRPV	3431746	S	9	0	9	0.00000
Polerovirus SCYLV	3431782	S	9	0	9	0.00000
Polerovirus WLYAV	3431797	S	7	0	7	0.00000
Polerovirus BCHV	3431727	S	7	0	7	0.00000
Polerovirus CPPV1	3431741	S	5	0	5	0.00000
Polerovirus SPV	3431785	S	5	0	5	0.00000
Polerovirus PEVYV2	3431765	S	4	0	4	0.00000
Polerovirus CTRLV	3431744	S	3	0	3	0.00000
Polerovirus CPCSV	3431739	S	3	0	3	0.00000
Polerovirus SAYV	3431780	S	2	0	2	0.00000
Polerovirus BVG	3431731	S	2	0	2	0.00000
Enamovirus PEEV	3428484	S	49	0	49	0.00000
Enamovirus GEV	3428481	S	29	0	29	0.00000
Enamovirus AEV	1770265	S	15	0	15	0.00000
Enamovirus CVEV	3428480	S	14	0	14	0.00000
Enamovirus PEMV	3428485	S	1	0	1	0.00000
Polemovirus PNLV	3431723	S	47	0	47	0.00000
Heterocapsa circularisquama RNA virus 01	2030964	S	36	0	36	0.00000
Mushroom bacilliform virus	32625	S	32	0	32	0.00000
Mamastrovirus hominis	3430629	S	41835	0	41835	0.00027
Mamastrovirus melbournense	3430631	S	13626	0	13626	0.00009
Feline astrovirus 2	1389204	S	4396	0	4396	0.00003
HMO Astrovirus A	682382	S	869	0	869	0.00001
Canine astrovirus	1157338	S	369	33	402	0.00000
Porcine astrovirus 3	1254425	S	151	0	151	0.00000
Rabbit astrovirus TN/2208/2010	1161132	S	86	0	86	0.00000
Rodent astrovirus	1914442	S	84	0	84	0.00000
Burkina Faso astrovirus	1518574	S	77	0	77	0.00000
Qinghai Himalayan marmot astrovirus 1	1961665	S	39	0	39	0.00000
Qinghai Himalayan marmot astrovirus 2	1961666	S	20	0	20	0.00000
Porcine astrovirus 2	1105378	S	20	0	20	0.00000
Dromedary astrovirus	1662272	S	15	0	15	0.00000
Astrovirus wild boar/WBAstV-1/2011/HUN	1137931	S	12	0	12	0.00000
Porcine astrovirus 4	1105379	S	11	0	11	0.00000
Bovine astrovirus B18/HK	1027245	S	6	0	6	0.00000
Bovine astrovirus B76-2/HK	1027247	S	4	2261	2265	0.00001
Bovine astrovirus	1435485	S	1	0	1	0.00000
Bovine astrovirus B76/HK	1027248	S	1	0	1	0.00000
Mamastrovirus virginiaense	3430641	S	3923	0	3923	0.00002
Mamastrovirus zalophi	3430642	S	542	0	542	0.00000
Mamastrovirus taphozoi	3430638	S	222	0	222	0.00000
Mamastrovirus felis	3430626	S	28	0	28	0.00000
Mamastrovirus canis	3430625	S	26	19	45	0.00000
Mamastrovirus hipposideri	3430628	S	25	0	25	0.00000
Mamastrovirus californiani	3430624	S	21	0	21	0.00000
Mamastrovirus suis	3430637	S	15	0	15	0.00000
Mamastrovirus ovis	3430634	S	10	0	10	0.00000
Mamastrovirus vespertilionis	3430640	S	8	0	8	0.00000
Mamastrovirus mustelae	3430633	S	6	0	6	0.00000
Mamastrovirus tursiopis	3430639	S	5	0	5	0.00000
Mamastrovirus pipistrelli	3430635	S	4	0	4	0.00000
Mamastrovirus pusilli	3430636	S	3	0	3	0.00000
Mamastrovirus guangxiense	3430627	S	2	0	2	0.00000
Human astrovirus	1868658	S	49043	0	49043	0.00031
Astrovirus MLB2	683172	S	1716	0	1716	0.00001
Murine astrovirus	1141625	S	241	0	241	0.00000
Astrovirus MLB3	1247114	S	97	0	97	0.00000
Bastrovirus BAS-1	2025396	S	68	0	68	0.00000
Culex Bastrovirus-like virus	2304505	S	63	0	63	0.00000
Astrovirus VA3	683174	S	50	0	50	0.00000
Bastrovirus-like_virus/VietNam/Bat/17819_21	1906170	S	30	0	30	0.00000
Astrovirus Er/SZAL6/HUN/2011	1671382	S	12	0	12	0.00000
Bastrovirus BAS-2	2025397	S	10	0	10	0.00000
Porcine astrovirus 5	1093928	S	9	0	9	0.00000
Astrovirus VA4	1247113	S	8	0	8	0.00000
Bastrovirus BAS-3	2025398	S	7	0	7	0.00000
Bovine astrovirus CH13	1522059	S	5	0	5	0.00000
Bastrovirus/VietNam/Porcine/17489_85	1906173	S	5	0	5	0.00000
Sichuan takin astrovirus	2220003	S	2	1133	1135	0.00001
Mouse astrovirus M-52/USA/2008	1074210	S	2	0	2	0.00000
Turkey astrovirus	70793	S	35	0	35	0.00000
Chicken astrovirus	336959	S	33	0	33	0.00000
Duck astrovirus GII.A	905828	S	13	0	13	0.00000
Goose astrovirus	1349999	S	2	0	2	0.00000
Avastrovirus intestini	3426506	S	2	0	2	0.00000
Potyvirus alliumagrestis	3240463	S	2008	0	2008	0.00001
Potyvirus costus	3240511	S	450	0	450	0.00000
