================================================================================
Viral Abundance Report (MEGAHIT) - llnl_66ce4dde
================================================================================

Total mapped reads: 4,535,221
Viral contigs detected: 12878

Contig ID                      Length (bp)     Reads      RPM          RPKM         Identity (%)
k141_25278                     1358            102        22.49        16.56        27.50       
k141_75576                     2717            204        44.98        16.56        38.00       
k141_113590                    2583            194        42.78        16.56        49.70       
k141_10750                     1438            108        23.81        16.56        54.00       
k141_16856                     7462            560        123.48       16.55        30.40       
k141_58150                     8328            625        137.81       16.55        31.80       
k141_40925                     3078            231        50.93        16.55        27.10       
k141_177842                    5093            382        84.23        16.54        24.60       
k141_1763                      3880            291        64.16        16.54        27.90       
k141_177476                    14535           1090       240.34       16.54        35.60       
k141_82315                     4335            325        71.66        16.53        25.50       
k141_67224                     1054            79         17.42        16.53        36.20       
k141_81401                     5352            401        88.42        16.52        26.00       
k141_57363                     7148            535        117.97       16.50        48.30       
k141_64647                     6469            484        106.72       16.50        34.40       
k141_127103                    1924            144        31.75        16.50        23.70       
k141_96905                     7837            586        129.21       16.49        27.70       
k141_63345                     1297            97         21.39        16.49        32.20       
k141_140995                    1084            81         17.86        16.48        47.00       
k141_84989                     2638            197        43.44        16.47        44.70       
k141_39469                     2732            204        44.98        16.46        41.10       
k141_177969                    9603            717        158.10       16.46        36.60       
k141_102262                    5880            439        96.80        16.46        54.80       
k141_32748                     19371           1446       318.84       16.46        48.10       
k141_103654                    6444            481        106.06       16.46        26.40       
k141_57325                     9435            704        155.23       16.45        33.40       
k141_154204                    4570            341        75.19        16.45        46.00       
k141_104538                    8429            629        138.69       16.45        32.80       
k141_126872                    18339           1367       301.42       16.44        39.80       
k141_46938                     2469            184        40.57        16.43        30.70       
k141_139561                    1973            147        32.41        16.43        33.80       
k141_162466                    1275            95         20.95        16.43        24.70       
k141_91881                     14165           1054       232.40       16.41        34.40       
k141_135164                    1291            96         21.17        16.40        44.20       
k141_1642                      9070            674        148.61       16.39        21.90       
k141_15182                     5342            397        87.54        16.39        28.70       
k141_81419                     3620            269        59.31        16.38        41.90       
k141_107042                    1898            141        31.09        16.38        30.50       
k141_114119                    1131            84         18.52        16.38        24.10       
k141_49434                     1737            129        28.44        16.38        39.10       
k141_139476                    5228            388        85.55        16.36        27.70       
k141_46137                     1227            91         20.07        16.35        25.70       
k141_170176                    1983            147        32.41        16.35        56.90       
k141_94667                     4170            309        68.13        16.34        39.40       
k141_3221                      10277           761        167.80       16.33        29.70       
k141_111013                    4212            312        68.79        16.33        32.20       
k141_83368                     1338            99         21.83        16.31        29.20       
k141_53533                     2069            153        33.74        16.31        32.30       
k141_51182                     3826            283        62.40        16.31        37.50       
k141_98462                     8357            618        136.27       16.31        32.80       
k141_20817                     8670            641        141.34       16.30        40.50       
k141_80125                     1366            101        22.27        16.30        34.60       
k141_126848                    4104            303        66.81        16.28        35.10       
k141_60990                     2465            182        40.13        16.28        33.60       
k141_162274                    9846            727        160.30       16.28        38.40       
k141_111542                    2304            170        37.48        16.27        21.30       
k141_60514                     8820            651        143.54       16.27        35.00       
k141_24748                     5736            423        93.27        16.26        44.40       
k141_139374                    1478            109        24.03        16.26        36.00       
k141_18755                     3350            247        54.46        16.26        39.80       
k141_178364                    4653            343        75.63        16.25        32.60       
k141_89224                     8380            617        136.05       16.23        29.80       
k141_172590                    4809            354        78.06        16.23        29.70       
k141_86237                     3912            288        63.50        16.23        28.20       
k141_21559                     2474            182        40.13        16.22        29.70       
k141_43441                     3248            239        52.70        16.22        31.30       
k141_146831                    1020            75         16.54        16.21        40.60       
k141_22328                     4614            339        74.75        16.20        29.00       
k141_54463                     1769            130        28.66        16.20        32.20       
k141_92627                     6671            490        108.04       16.20        26.90       
k141_38039                     3974            292        64.38        16.20        26.60       
k141_169520                    2901            213        46.97        16.19        33.90       
k141_73654                     1035            76         16.76        16.19        40.80       
k141_156661                    17349           1273       280.69       16.18        25.00       
k141_59248                     3202            235        51.82        16.18        30.10       
k141_173441                    1063            78         17.20        16.18        45.30       
k141_114888                    5577            409        90.18        16.17        34.20       
k141_170669                    1255            92         20.29        16.16        24.10       
k141_43451                     2061            151        33.29        16.15        41.60       
k141_120759                    3784            277        61.08        16.14        23.80       
k141_175288                    1011            74         16.32        16.14        49.20       
k141_51067                     3063            224        49.39        16.13        43.00       
k141_125607                    12140           888        195.80       16.13        27.50       
k141_79371                     1107            81         17.86        16.13        25.40       
k141_56470                     1217            89         19.62        16.13        24.50       
k141_148186                    8489            621        136.93       16.13        27.60       
k141_123220                    2681            196        43.22        16.12        56.00       
k141_28048                     1847            135        29.77        16.12        26.40       
k141_68753                     7377            539        118.85       16.11        27.30       
k141_159166                    12689           927        204.40       16.11        25.90       
k141_61121                     2258            165        36.38        16.11        42.60       
k141_142696                    2478            181        39.91        16.11        38.70       
k141_27016                     2918            213        46.97        16.10        30.20       
k141_174722                    6618            483        106.50       16.09        34.60       
k141_133558                    1056            77         16.98        16.08        50.60       
k141_49140                     7062            515        113.56       16.08        26.10       
k141_76629                     3238            236        52.04        16.07        33.60       
k141_79805                     5076            370        81.58        16.07        26.30       
k141_37303                     6022            439        96.80        16.07        26.00       
k141_29556                     6080            443        97.68        16.07        27.80       
k141_158674                    1180            86         18.96        16.07        47.10       
k141_46630                     5258            383        84.45        16.06        28.30       
k141_71056                     4517            329        72.54        16.06        44.10       
k141_98867                     2279            166        36.60        16.06        29.90       
k141_56801                     1551            113        24.92        16.06        33.10       
k141_172423                    4849            353        77.84        16.05        24.60       
k141_76775                     5593            407        89.74        16.05        60.50       
k141_53128                     11925           868        191.39       16.05        29.60       
k141_120804                    11621           846        186.54       16.05        31.70       
k141_146612                    3640            265        58.43        16.05        35.50       
k141_38263                     1224            89         19.62        16.03        42.30       
k141_94587                     6128            445        98.12        16.01        21.20       
k141_44152                     12002           871        192.05       16.00        28.00       
k141_60173                     3957            287        63.28        15.99        28.00       
k141_46331                     1821            132        29.11        15.98        43.90       
k141_162561                    1739            126        27.78        15.98        57.50       
k141_160663                    1602            116        25.58        15.97        25.30       
k141_7919                      2486            180        39.69        15.97        24.30       
k141_94790                     10258           743        163.83       15.97        36.90       
k141_31125                     2556            185        40.79        15.96        32.40       
k141_99072                     4588            332        73.20        15.96        32.30       
k141_6342                      3855            279        61.52        15.96        29.80       
k141_35531                     4049            293        64.61        15.96        46.20       
k141_157076                    4423            320        70.56        15.95        32.00       
k141_3822                      4465            323        71.22        15.95        29.10       
k141_81521                     5778            418        92.17        15.95        30.50       
k141_56818                     5570            403        88.86        15.95        39.90       
k141_29695                     1700            123        27.12        15.95        26.10       
k141_86590                     3044            220        48.51        15.94        29.00       
k141_145662                    2518            182        40.13        15.94        30.70       
k141_132971                    1495            108        23.81        15.93        32.60       
k141_132284                    4112            297        65.49        15.93        28.60       
k141_180433                    1301            94         20.73        15.93        30.90       
k141_30715                     1882            136        29.99        15.93        39.50       
k141_162548                    2145            155        34.18        15.93        42.90       
k141_50297                     11092           801        176.62       15.92        42.70       
k141_66686                     1677            121        26.68        15.91        40.80       
k141_55210                     1538            111        24.48        15.91        44.30       
k141_175271                    4133            298        65.71        15.90        37.30       
k141_74202                     3858            278        61.30        15.89        31.40       
k141_142890                    4833            348        76.73        15.88        27.60       
k141_152889                    5498            396        87.32        15.88        40.80       
k141_128245                    1070            77         16.98        15.87        49.10       
k141_166924                    1293            93         20.51        15.86        29.50       
k141_119416                    1237            89         19.62        15.86        76.80       
k141_57580                     2504            180        39.69        15.85        38.70       
k141_6480                      10654           766        168.90       15.85        48.80       
k141_86748                     2520            181        39.91        15.84        34.70       
k141_31208                     11935           857        188.97       15.83        26.00       
k141_107071                    4431            318        70.12        15.82        33.80       
k141_11334                     4085            293        64.61        15.82        30.70       
k141_122862                    3833            275        60.64        15.82        24.80       
k141_115921                    4881            350        77.17        15.81        40.30       
k141_26403                     10716           768        169.34       15.80        25.10       
k141_149886                    1061            76         16.76        15.79        34.60       
k141_37827                     2167            155        34.18        15.77        39.80       
k141_137705                    11236           803        177.06       15.76        42.30       
k141_25737                     1133            81         17.86        15.76        26.60       
k141_132148                    4717            337        74.31        15.75        43.00       
k141_43373                     11985           856        188.74       15.75        42.50       
k141_55616                     4526            323        71.22        15.74        37.70       
k141_18965                     3699            264        58.21        15.74        38.70       
k141_70472                     9797            699        154.13       15.73        30.00       
k141_129368                    3575            255        56.23        15.73        30.40       
k141_22743                     3155            225        49.61        15.72        24.20       
k141_116322                    1123            80         17.64        15.71        45.40       
k141_84442                     2288            163        35.94        15.71        27.00       
k141_12631                     4013            286        63.06        15.71        33.60       
k141_58446                     2259            161        35.50        15.71        26.20       
k141_100450                    2766            197        43.44        15.70        39.00       
k141_44229                     2458            175        38.59        15.70        30.90       
k141_37681                     1519            108        23.81        15.68        38.00       
k141_178471                    1646            117        25.80        15.67        27.40       
k141_180587                    1506            107        23.59        15.67        30.60       
k141_20653                     1140            81         17.86        15.67        38.60       
k141_147808                    1296            92         20.29        15.65        26.80       
k141_169259                    4115            292        64.38        15.65        33.70       
k141_57                        7907            561        123.70       15.64        25.60       
k141_128779                    11705           830        183.01       15.64        45.20       
k141_14140                     19131           1357       299.21       15.64        45.50       
k141_62073                     1934            137        30.21        15.62        32.70       
k141_99275                     6436            456        100.55       15.62        21.90       
k141_142088                    1342            95         20.95        15.61        32.70       
k141_118728                    27420           1941       427.98       15.61        31.40       
k141_145690                    1497            106        23.37        15.61        28.30       
k141_90817                     5641            399        87.98        15.60        47.80       
k141_50402                     4368            309        68.13        15.60        26.70       
k141_144329                    5272            373        82.25        15.60        20.70       
k141_170167                    4397            311        68.57        15.60        31.00       
k141_65920                     2120            150        33.07        15.60        33.50       
k141_134258                    1160            82         18.08        15.59        43.90       
k141_146984                    17010           1203       265.26       15.59        23.50       
k141_174978                    6493            459        101.21       15.59        32.10       
k141_158041                    4104            290        63.94        15.58        48.60       
k141_3620                      13431           949        209.25       15.58        33.00       
k141_133880                    4107            290        63.94        15.57        49.80       
k141_122638                    5664            400        88.20        15.57        32.80       
k141_98777                     5651            399        87.98        15.57        37.50       
k141_167906                    10345           730        160.96       15.56        44.10       
k141_163394                    8304            586        129.21       15.56        38.10       
k141_23500                     4888            345        76.07        15.56        27.40       
k141_166871                    1318            93         20.51        15.56        46.00       
k141_60334                     2539            179        39.47        15.55        25.80       
k141_79064                     3394            239        52.70        15.53        44.70       
k141_43295                     1505            106        23.37        15.53        37.10       
k141_26085                     4189            295        65.05        15.53        38.40       
k141_3979                      1122            79         17.42        15.53        34.50       
k141_57068                     2358            166        36.60        15.52        34.20       
k141_37518                     3438            242        53.36        15.52        27.80       
k141_33695                     26789           1885       415.64       15.52        32.30       
k141_161244                    2630            185        40.79        15.51        25.10       
k141_125430                    6583            463        102.09       15.51        29.60       
k141_137942                    1238            87         19.18        15.50        30.00       
k141_43180                     3843            270        59.53        15.49        29.20       
k141_95556                     1040            73         16.10        15.48        27.30       
k141_133323                    2836            199        43.88        15.47        32.20       
k141_35558                     4361            306        67.47        15.47        31.50       
k141_51258                     1425            100        22.05        15.47        30.80       
k141_112039                    2327            163        35.94        15.45        28.90       
k141_17802                     1971            138        30.43        15.44        45.80       
k141_174693                    11039           773        170.44       15.44        31.00       
k141_160699                    2515            176        38.81        15.43        40.70       
k141_105287                    1686            118        26.02        15.43        42.60       
k141_180465                    1486            104        22.93        15.43        29.50       
k141_144360                    13688           957        211.02       15.42        33.60       
k141_103196                    4448            311        68.57        15.42        50.70       
k141_154382                    1001            70         15.43        15.42        53.40       
k141_153962                    9275            648        142.88       15.41        41.60       
k141_46032                     2289            160        35.28        15.41        38.90       
k141_123669                    15031           1050       231.52       15.40        33.20       
k141_122752                    1719            120        26.46        15.39        35.80       
k141_113122                    1906            133        29.33        15.39        28.70       
k141_74444                     7312            510        112.45       15.38        33.50       
k141_136258                    1505            105        23.15        15.38        48.70       
k141_78177                     2267            158        34.84        15.37        35.50       
k141_141299                    1607            112        24.70        15.37        43.30       
k141_20726                     1622            113        24.92        15.36        31.20       
k141_157081                    2167            151        33.29        15.36        40.00       
k141_50245                     1349            94         20.73        15.36        40.50       
k141_159459                    4337            302        66.59        15.35        23.00       
k141_131382                    1795            125        27.56        15.35        41.30       
k141_168600                    6093            424        93.49        15.34        29.40       
k141_138784                    1078            75         16.54        15.34        32.60       
k141_136639                    1049            73         16.10        15.34        37.80       
k141_177992                    4958            345        76.07        15.34        30.00       
k141_6567                      14630           1017       224.24       15.33        35.80       
k141_64897                     4563            317        69.90        15.32        32.00       
k141_179937                    2029            141        31.09        15.32        30.40       
k141_77590                     11845           823        181.47       15.32        38.80       
k141_110595                    1022            71         15.66        15.32        58.30       
k141_28592                     2562            178        39.25        15.32        23.00       
k141_156472                    5297            368        81.14        15.32        25.50       
k141_14068                     3080            214        47.19        15.32        32.50       
k141_47030                     3658            254        56.01        15.31        26.00       
k141_50652                     1008            70         15.43        15.31        50.80       
k141_90043                     1124            78         17.20        15.30        34.00       
k141_150931                    4309            299        65.93        15.30        31.70       
k141_169337                    2436            169        37.26        15.30        24.70       
k141_82265                     3775            262        57.77        15.30        25.90       
k141_140138                    1024            71         15.66        15.29        31.40       
k141_146401                    3562            247        54.46        15.29        48.20       
k141_138880                    7558            524        115.54       15.29        41.50       
k141_154325                    4819            334        73.65        15.28        33.10       
k141_103314                    2889            200        44.10        15.26        24.70       
k141_147321                    3816            264        58.21        15.25        39.20       
k141_116428                    18268           1263       278.49       15.24        29.10       
k141_115459                    1837            127        28.00        15.24        23.40       
k141_140196                    1722            119        26.24        15.24        29.50       
k141_50654                     1592            110        24.25        15.24        45.20       
k141_9768                      10611           733        161.62       15.23        33.10       
k141_162585                    6608            456        100.55       15.22        26.70       
k141_37358                     1449            100        22.05        15.22        31.70       
k141_61834                     6116            422        93.05        15.21        45.80       
k141_119951                    2856            197        43.44        15.21        54.50       
k141_150275                    7696            531        117.08       15.21        27.30       
k141_140653                    6248            431        95.03        15.21        27.00       
k141_169490                    11234           775        170.88       15.21        36.50       
k141_36764                     1567            108        23.81        15.20        30.30       
k141_74239                     1146            79         17.42        15.20        40.50       
k141_106469                    14167           976        215.20       15.19        36.60       
k141_148720                    3543            244        53.80        15.19        27.60       
k141_147549                    2338            161        35.50        15.18        27.20       
k141_113721                    1264            87         19.18        15.18        34.20       
k141_167058                    1526            105        23.15        15.17        32.60       
k141_168470                    3127            215        47.41        15.16        29.50       
k141_67533                     1120            77         16.98        15.16        34.90       
k141_142829                    1121            77         16.98        15.15        48.10       
k141_41760                     2241            154        33.96        15.15        44.00       
k141_127436                    5983            411        90.62        15.15        31.60       
k141_15899                     2634            181        39.91        15.15        49.00       
k141_141412                    1966            135        29.77        15.14        32.70       
k141_69802                     1223            84         18.52        15.14        24.10       
k141_4456                      12364           849        187.20       15.14        35.20       
k141_54476                     41050           2817       621.14       15.13        45.20       
k141_163723                    1763            121        26.68        15.13        54.70       
k141_124589                    3279            225        49.61        15.13        34.60       
k141_92603                     9402            645        142.22       15.13        23.80       
k141_40006                     1254            86         18.96        15.12        34.30       
k141_85181                     5998            411        90.62        15.11        27.80       
k141_153245                    5998            411        90.62        15.11        34.60       
k141_99607                     13026           892        196.68       15.10        33.90       
k141_167067                    6674            457        100.77       15.10        36.90       
k141_167370                    8373            573        126.34       15.09        24.60       
k141_58978                     1724            118        26.02        15.09        43.30       
k141_86406                     1081            74         16.32        15.09        27.10       
k141_169528                    1126            77         16.98        15.08        43.90       
k141_62911                     2647            181        39.91        15.08        25.60       
k141_60343                     2823            193        42.56        15.07        42.20       
k141_27630                     1580            108        23.81        15.07        24.50       
k141_56315                     2811            192        42.34        15.06        62.50       
k141_171843                    2812            192        42.34        15.06        52.00       
k141_174698                    4922            336        74.09        15.05        45.00       
k141_86251                     17351           1184       261.07       15.05        39.90       
k141_122532                    2490            170        37.48        15.05        33.30       
k141_119432                    5715            390        85.99        15.05        24.80       
k141_146700                    2963            202        44.54        15.03        27.60       
k141_35050                     4842            330        72.76        15.03        33.30       
k141_74366                     1144            78         17.20        15.03        32.90       
k141_162217                    6807            464        102.31       15.03        26.10       
k141_92201                     1380            94         20.73        15.02        47.00       
k141_78856                     1424            97         21.39        15.02        36.30       
k141_78350                     4594            313        69.02        15.02        34.40       
k141_162324                    6182            421        92.83        15.02        33.10       
k141_35276                     2041            139        30.65        15.02        46.20       
k141_129041                    4832            329        72.54        15.01        56.10       
k141_137535                    7494            510        112.45       15.01        22.40       
k141_9146                      1969            134        29.55        15.01        31.50       
k141_29584                     3395            231        50.93        15.00        33.20       
k141_95782                     3958            269        59.31        14.99        23.90       
k141_81015                     9985            679        149.72       14.99        34.00       
k141_38840                     3222            219        48.29        14.99        32.80       
k141_13838                     5180            352        77.61        14.98        32.80       
k141_83951                     7064            480        105.84       14.98        46.10       
k141_55102                     1208            82         18.08        14.97        47.80       
k141_115958                    2975            202        44.54        14.97        24.70       
k141_149867                    8309            564        124.36       14.97        34.90       
k141_61943                     1620            110        24.25        14.97        28.70       
k141_80334                     1193            81         17.86        14.97        33.80       
k141_95735                     14447           981        216.31       14.97        33.50       
k141_9472                      1400            95         20.95        14.96        32.90       
k141_40158                     13876           941        207.49       14.95        33.90       
k141_6611                      4071            276        60.86        14.95        35.90       
k141_29927                     2243            152        33.52        14.94        29.90       
k141_144122                    2715            184        40.57        14.94        58.80       
k141_146266                    1033            70         15.43        14.94        46.60       
k141_142641                    1683            114        25.14        14.94        28.60       
k141_96601                     1668            113        24.92        14.94        29.80       
k141_168554                    13830           937        206.61       14.94        39.70       
k141_130285                    2110            143        31.53        14.94        43.40       
k141_96157                     2349            159        35.06        14.93        28.80       
k141_66224                     13349           904        199.33       14.93        29.50       
k141_76237                     6467            438        96.58        14.93        37.90       
k141_126934                    4565            309        68.13        14.93        27.40       
k141_136557                    5451            369        81.36        14.93        43.20       
k141_137369                    11733           794        175.07       14.92        42.30       
k141_109087                    1317            89         19.62        14.90        38.30       
k141_62383                     4336            293        64.61        14.90        31.90       
k141_167950                    1361            92         20.29        14.90        51.50       
k141_38810                     5151            348        76.73        14.90        23.80       
k141_126258                    5505            372        82.02        14.90        25.50       
k141_119923                    20381           1376       303.40       14.89        54.70       
k141_136777                    3391            229        50.49        14.89        26.60       
k141_65968                     2918            197        43.44        14.89        33.10       
k141_118886                    2399            162        35.72        14.89        29.90       
k141_115398                    2014            136        29.99        14.89        34.20       
k141_127798                    1245            84         18.52        14.88        40.20       
k141_29720                     2563            173        38.15        14.88        34.20       
k141_163163                    8594            580        127.89       14.88        41.60       
k141_132144                    1394            94         20.73        14.87        26.90       
k141_175500                    2180            147        32.41        14.87        32.80       
k141_144184                    4452            300        66.15        14.86        28.60       
k141_157231                    2670            180        39.69        14.86        37.00       
k141_175181                    2345            158        34.84        14.86        32.00       
k141_124771                    2670            180        39.69        14.86        29.90       
k141_44563                     1381            93         20.51        14.85        44.10       
k141_146062                    6004            404        89.08        14.84        33.80       
k141_117785                    2942            198        43.66        14.84        30.30       
k141_167458                    8111            546        120.39       14.84        27.40       
k141_11478                     8865            596        131.42       14.82        55.80       
k141_90661                     1785            120        26.46        14.82        27.20       
k141_64326                     3466            233        51.38        14.82        31.00       
k141_40364                     1117            75         16.54        14.81        42.90       
k141_44169                     5047            339        74.75        14.81        44.50       
k141_152494                    2069            139        30.65        14.81        44.00       
k141_127054                    1697            114        25.14        14.81        28.80       
k141_69107                     1043            70         15.43        14.80        52.40       
k141_82740                     3189            214        47.19        14.80        30.80       
k141_47939                     1520            102        22.49        14.80        34.10       
k141_15928                     9016            605        133.40       14.80        34.00       
k141_81211                     8425            565        124.58       14.79        32.20       
k141_97789                     2058            138        30.43        14.79        37.10       
k141_6992                      1834            123        27.12        14.79        44.70       
k141_49653                     1238            83         18.30        14.78        35.50       
k141_159128                    1044            70         15.43        14.78        44.30       
k141_47722                     2045            137        30.21        14.77        31.40       
k141_36753                     1597            107        23.59        14.77        31.90       
k141_136000                    1373            92         20.29        14.77        44.50       
k141_11985                     1254            84         18.52        14.77        27.10       
k141_1789                      12875           862        190.07       14.76        32.10       
k141_123793                    1315            88         19.40        14.76        36.60       
k141_65514                     5320            356        78.50        14.76        24.20       
k141_127576                    1211            81         17.86        14.75        36.50       
k141_47231                     1345            90         19.84        14.75        28.40       
k141_42754                     1181            79         17.42        14.75        34.70       
k141_153457                    6740            451        99.44        14.75        32.90       
k141_29735                     3262            218        48.07        14.74        24.10       
k141_135180                    3983            266        58.65        14.73        36.10       
k141_69118                     3399            227        50.05        14.73        39.10       
k141_85844                     2784            186        41.01        14.73        30.20       
k141_15424                     1452            97         21.39        14.73        33.90       
k141_167277                    5179            346        76.29        14.73        37.50       
k141_14345                     1617            108        23.81        14.73        31.80       
k141_136275                    2365            158        34.84        14.73        36.50       
k141_89902                     10783           720        158.76       14.72        30.50       
k141_86471                     1168            78         17.20        14.72        34.70       
k141_43470                     1797            120        26.46        14.72        34.70       
k141_135312                    7084            473        104.29       14.72        29.50       
k141_170565                    5473            365        80.48        14.71        40.50       
k141_3024                      3571            238        52.48        14.70        30.40       
k141_102423                    4230            282        62.18        14.70        28.80       
k141_111997                    2220            148        32.63        14.70        27.20       
k141_142077                    5221            348        76.73        14.70        20.90       
k141_76807                     1440            96         21.17        14.70        38.60       
k141_149880                    4878            325        71.66        14.69        28.20       
k141_118996                    5165            344        75.85        14.69        23.90       
k141_124924                    2597            173        38.15        14.69        31.90       
k141_137503                    1954            130        28.66        14.67        38.50       
k141_27646                     20232           1346       296.79       14.67        40.40       
k141_53174                     5356            356        78.50        14.66        33.60       
k141_180356                    1053            70         15.43        14.66        37.10       
k141_95480                     6272            417        91.95        14.66        49.30       
k141_92251                     2060            137        30.21        14.66        29.40       
k141_114677                    1489            99         21.83        14.66        28.30       
k141_170504                    2421            161        35.50        14.66        31.30       
k141_38036                     1941            129        28.44        14.65        26.80       
k141_158469                    4786            318        70.12        14.65        30.20       
k141_143430                    2710            180        39.69        14.65        28.00       
k141_60214                     1535            102        22.49        14.65        23.90       
k141_114698                    2605            173        38.15        14.64        48.60       
k141_77939                     5362            356        78.50        14.64        34.30       
k141_11653                     4022            267        58.87        14.64        29.40       
k141_167131                    3901            259        57.11        14.64        44.60       
k141_109511                    7885            523        115.32       14.63        32.80       
k141_144292                    11181           742        163.61       14.63        30.20       
k141_150848                    11036           732        161.40       14.63        36.90       
k141_78408                     1643            109        24.03        14.63        33.70       
k141_5734                      7910            525        115.76       14.63        41.40       
k141_51524                     11629           771        170.00       14.62        34.10       
k141_156226                    8071            535        117.97       14.62        28.40       
k141_35499                     1659            110        24.25        14.62        31.30       
k141_62020                     1267            84         18.52        14.62        28.20       
k141_45909                     2294            152        33.52        14.61        46.20       
k141_91249                     19332           1281       282.46       14.61        43.60       
k141_32969                     3636            241        53.14        14.61        26.40       
k141_58100                     2656            176        38.81        14.61        30.40       
k141_2030                      5191            344        75.85        14.61        27.40       
k141_7405                      3563            236        52.04        14.60        38.90       
k141_58628                     2524            167        36.82        14.59        35.20       
k141_129063                    1375            91         20.07        14.59        30.90       
k141_81841                     2886            191        42.11        14.59        42.30       
k141_101293                    4430            293        64.61        14.58        26.30       
k141_20249                     7955            526        115.98       14.58        27.10       
k141_8009                      1801            119        26.24        14.57        43.10       
k141_117650                    10187           673        148.39       14.57        39.70       
